country_name,"Health expenditure, total (% of GDP)"
Afghanistan,8.182274
Albania,5.883105
Algeria,7.207178
Andorra,8.127136
Angola,3.306983
andBarbuda,5.541683
ArabWorld,4.874427
Argentina,4.785916
Armenia,4.480149
Australia,9.4223
Austria,11.205473
Azerbaijan,6.036863
Bahamas,7.742365
Bahrain,4.980796
Bangladesh,2.818999
Barbados,7.469303
Belarus,5.687722
Belgium,10.594751
Belize,5.78895
Benin,4.594297
Bhutan,3.573015
Bolivia,6.334827
andHerzegovina,9.572016
Botswana,5.412003
Brazil,8.322834
Brunei,2.648163
Bulgaria,8.442913
BurkinaFaso,4.960263
Burundi,7.535565
Cambodia,5.675639
Cameroon,4.103672
Canada,10.449582
CapeVerde,4.759696
smallstates,6.114071
AfricanRepublic,4.200222
theBaltics,6.844176
Chad,3.621164
Chile,7.785858
China,5.548228
Colombia,7.201299
Comoros,6.747643
Congo,5.151411
CostaRica,9.313112
Coted'Ivoire,5.716274
Croatia,7.803242
Cuba,11.0588
Cyprus,7.367612
Czechia,7.410912
ofCongo,4.328234
Denmark,10.804957
Djibouti,10.568256
Dominica,5.485833
DominicanRepublic,4.375778
Early-demographicdividend,5.283748
&Pacific,6.887218
&IBRD),5.257042
highincome),5.256968
Ecuador,9.161088
Egypt,5.642115
ElSalvador,6.772403
EquatorialGuinea,3.804079
Eritrea,3.338293
Estonia,6.379294
Eswatini,9.25194
Ethiopia,4.884313
Euroarea,10.444663
CentralAsia,9.501981
&IBRD),6.412491
highincome),6.420825
EuropeanUnion,10.039503
Fiji,4.487499
Finland,9.679909
affectedsituations,5.716774
France,11.53952
Gabon,3.437472
Gambia,7.340401
Georgia,7.416659
Germany,11.297001
Ghana,3.557292
Greece,8.084267
Grenada,6.097614
Guatemala,6.202301
Guinea,5.644798
Guinea-Bissau,5.593137
Guyana,5.247803
Haiti,7.555654
countries(HIPC),6.040348
Highincome,12.262741
Honduras,8.72268
Hungary,7.400781
IBRDonly,5.926849
IBRDtotal,5.826524
IDAblend,3.831822
IDAonly,5.169368
IDAtotal,4.4636
Iceland,8.859166
India,4.685088
Indonesia,2.84686
Iran,6.894922
Iraq,5.538873
Ireland,7.783197
Israel,7.808308
Italy,9.247918
Jamaica,5.361525
Japan,10.228744
Jordan,7.452996
Kazakhstan,4.35594
Kenya,5.720291
Kiribati,10.21295
Kuwait,3.042368
Kyrgyzstan,6.483762
Laos,1.865546
Late-demographicdividend,6.067365
&Caribbean,7.310272
&IBRD),7.256354
highincome),7.280566
Latvia,5.880694
UNclassification,4.768612
Lebanon,6.393709
Lesotho,10.617677
Liberia,10.036333
Libya,4.968935
Lithuania,6.552117
middleincome,5.803493
Lowincome,5.747865
middleincome,4.496194
Luxembourg,6.937874
Madagascar,3.041355
Malawi,11.377956
Malaysia,4.169078
Maldives,13.73352
Mali,6.862166
Malta,9.74992
MarshallIslands,17.135723
Mauritania,3.772699
Mauritius,4.809545
Mexico,6.296421
Micronesia(country),13.706915
NorthAfrica,5.321737
&IBRD),6.355814
highinc...,6.355814
Middleincome,5.808385
Moldova,10.323656
Monaco,4.337683
Mongolia,4.730342
Montenegro,6.416543
Morocco,5.907778
Mozambique,6.975582
Myanmar,2.275755
Namibia,8.928688
Nauru,3.326649
Nepal,5.797226
Netherlands,10.897293
NewZealand,11.02961
Nicaragua,9.040139
Niger,5.821299
Nigeria,3.668798
NorthAmerica,16.515481
NorthMacedonia,6.476375
Norway,9.719718
OECDmembers,12.32154
Oman,3.55394
smallstates,4.232032
smallstates,5.78017
Pakistan,2.613916
Palau,9.021533
Panama,8.025724
NewGuinea,4.263571
Paraguay,9.814421
Peru,5.473035
Philippines,4.709985
Poland,6.350246
Portugal,9.501076
Post-demographicdividend,12.702391
Pre-demographicdividend,4.76776
Qatar,2.187062
Romania,5.565009
Russia,7.070408
Rwanda,7.531551
andNevis,5.080365
SaintLucia,6.719041
theGrenadines,8.63024
Samoa,7.215109
SanMarino,6.129065
andPrincipe,8.353466
SaudiArabia,4.684085
Senegal,4.664972
Serbia,10.368812
Seychelles,3.369817
SierraLeone,11.089902
Singapore,4.922792
Slovakia,8.054048
Slovenia,9.233886
Smallstates,4.507204
SolomonIslands,5.051063
SouthAfrica,8.796985
SouthAsia,4.372983
&IBRD),4.372983
SouthKorea,7.373113
SouthSudan,2.738421
Spain,9.029887
SriLanka,3.50335
Sub-SaharanAfrica,5.474747
&IBRD),5.474747
highincome),5.47644
Sudan,8.428775
Suriname,5.68747
Sweden,11.92984
Switzerland,11.659269
Syria,3.254531
Tajikistan,6.880884
Tanzania,5.580116
Thailand,4.122164
Timor,1.475303
Togo,5.246877
Tonga,5.176771
andTobago,5.933197
Tunisia,7.003858
Turkey,5.414959
Turkmenistan,2.067386
Tuvalu,16.536639
Uganda,7.222137
Ukraine,7.095736
ArabEmirates,3.643986
UnitedKingdom,9.115472
UnitedStates,17.140754
middleincome,6.169568
Uruguay,8.581491
Uzbekistan,5.838522
Vanuatu,5.023575
Venezuela,5.256703
Vietnam,7.066778
World,9.92115
Yemen,5.63699
Zambia,4.986765
Zimbabwe,6.439471
