country_name,Total water withdrawal per capita
Afghanistan,943.8
Albania,588.5
Algeria,178.9
Angola,39.76
Armenia,568.8
Australia,1112.0
Austria,452.0
Azerbaijan,1216.0
Belarus,187.0
Belgium,650.1
Belize,385.2
Benin,17.53
Botswana,108.6
Bulgaria,837.3
BurkinaFaso,58.23
Burundi,40.22
Cameroon,57.6
CapeVerde,48.31
AfricanRepublic,17.15
Chad,94.33
China,418.4
Colombia,186.3
Comoros,17.38
Congo,14.12
Coted'Ivoire,81.99
Cyprus,214.5
Czechia,186.6
ofCongo,11.46
Denmark,124.4
Djibouti,25.49
Dominica,237.8
DominicanRepublic,550.8
Ecuador,716.7
Egypt,963.2
ElSalvador,234.3
EquatorialGuinea,30.65
Eritrea,109.1
Estonia,1022.0
Eswatini,963.0
Ethiopia,78.96
Fiji,100.2
Finland,447.6
France,538.8
Gabon,93.33
Gambia,69.19
Germany,479.2
Ghana,49.63
Greece,840.9
Guinea,60.71
Guinea-Bissau,127.6
Guyana,2207.0
Hungary,562.5
Iceland,575.1
India,559.9
Indonesia,521.2
Iran,1325.0
Iraq,2646.0
Israel,293.4
Italy,787.6
Japan,670.5
Jordan,162.6
Kazakhstan,1312.0
Kuwait,447.2
Kyrgyzstan,2005.0
Latvia,110.6
Lebanon,406.8
Lesotho,23.24
Liberia,42.59
Libya,784.0
Lithuania,806.3
Luxembourg,136.4
Madagascar,798.9
Malawi,112.4
Malaysia,381.3
Malta,137.5
Mauritania,554.9
Mauritius,507.5
Mexico,687.6
Monaco,177.6
Morocco,501.8
Mozambique,45.7
Myanmar,682.5
Namibia,147.1
Nepal,390.0
Netherlands,554.5
NewZealand,792.5
Nicaragua,268.4
Nigeria,79.77
NorthMacedonia,312.1
Norway,528.8
Oman,585.4
Pakistan,1196.0
Palestine,82.52
NewGuinea,48.01
Paraguay,88.95
Poland,305.0
Portugal,1075.0
PuertoRico,1023.0
Qatar,463.3
Romania,422.0
Russia,455.9
Rwanda,17.57
Senegal,213.8
SierraLeone,42.72
Slovakia,203.2
Slovenia,452.3
Somalia,420.3
SouthAfrica,276.4
SouthKorea,623.5
Spain,859.5
SriLanka,682.5
Suriname,1378.0
Sweden,300.3
Switzerland,347.7
Syria,962.5
Tajikistan,1867.0
Tanzania,144.6
Togo,32.87
andTobago,245.7
Tunisia,288.9
Turkey,644.9
Turkmenistan,5415.0
Uganda,12.52
Ukraine,381.7
ArabEmirates,855.6
UnitedKingdom,266.6
UnitedStates,1939.0
Uruguay,1100.0
Uzbekistan,2415.0
Venezuela,356.9
Yemen,180.5
Zambia,141.1
